 (Half Day),（半天）
 and year: ,和年份:
""" does not exists",不存在
%  Delivered,交付(%)
% Amount Billed,已付款(%)
% Billed,付款(%)
% Completed,完成(%)
% Delivered,交付(%)
% Installed,安装(%)
% Received,接收(%)
% of materials billed against this Purchase Order.,采购订单物料付款(%)
% of materials billed against this Sales Order,销售订单物料付款(%)
% of materials delivered against this Delivery Note,发货单上物料交付(%)
% of materials delivered against this Sales Order,销售订单物料交付(%)
% of materials ordered against this Material Request,物料下单进度百分比(%)
% of materials received against this Purchase Order,采购订单中已收到的物料(%)
'Actual Start Date' can not be greater than 'Actual End Date','实际开始日期'不能大于'实际结束日期'
'Based On' and 'Group By' can not be same,'基于'和'分组'的字段不能相同
'Days Since Last Order' must be greater than or equal to zero,'上次最后订购日到今天'的天数必须大于或等于零
'Entries' cannot be empty,'数据项'不能为空
'Expected Start Date' can not be greater than 'Expected End Date','预计开始日期'不能大于'预计结束日期'
'From Date' is required,'起始日期'是必需的
'From Date' must be after 'To Date','起始日期'必须在'终止日期'之后
'Has Serial No' can not be 'Yes' for non-stock item,非库存项目'有序列号'的值必须是'否'
'Notification Email Addresses' not specified for recurring invoice,经常性发票的'通知电子邮件地址'未被指定
'Profit and Loss' type account {0} not allowed in Opening Entry,损益类账户类型{0}不允许在期初分录中
'To Case No.' cannot be less than 'From Case No.','To Case No.'应该比'From Case No.'大
'To Date' is required,'至某日'是必填的
'Update Stock' for Sales Invoice {0} must be set,销售发票{0}必须设置'更新库存'
* Will be calculated in the transaction.,*交易会将其计算在内。
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1元= [?]角
如1元= 10角"
1. To maintain the customer wise item code and to make them searchable based on their code use this option,1. 使用这个选项可让其是可被搜索的并且可以维护针对客户智能项目代码
"<a href=""#Sales Browser/Customer Group"">Add / Edit</a>","<a href=""#Sales Browser/Customer Group"">添加/编辑</a>"
"<a href=""#Sales Browser/Item Group"">Add / Edit</a>","<a href=""#Sales Browser/Item Group"">添加/编辑</a>"
"<a href=""#Sales Browser/Territory"">Add / Edit</a>","<a href=""#Sales Browser/Territory"">添加/编辑</a>"
